author,title,types,price,review,rate
Michelle Obama,Becoming,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","124,513",4.8 out of 5 stars
Rachel Hollis,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","27,481",4.6 out of 5 stars
Craig Smith,The Wonky Donkey,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.29</span></span>","76,518",4.8 out of 5 stars
Michael Wolff,Fire and Fury: Inside the Trump White House,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","17,415",4.2 out of 5 stars
Bob Woodward,Fear: Trump in the White House,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","10,449",4.5 out of 5 stars
Jill Twiss,Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","15,090",4.9 out of 5 stars
Jordan B. Peterson,12 Rules for Life: An Antidote to Chaos,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$8.03</span></span>","61,351",4.8 out of 5 stars
Joanna Gaines,Magnolia Table,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.24</span></span>","33,266",4.8 out of 5 stars
The Staff of The Late Show with Stephen Colbert,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.13</span></span>","9,985",4.6 out of 5 stars
Mark Manson,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.82</span></span>","85,729",4.6 out of 5 stars
James Comey,"A Higher Loyalty: Truth, Lies, and Leadership",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.59</span></span>","8,378",4.7 out of 5 stars
Amy Ramos,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.47</span></span>","29,194",4.3 out of 5 stars
Jeff Kinney,Diary of a Wimpy Kid #13: Meltdown,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","21,075",4.8 out of 5 stars
Gary Chapman,The 5 Love Languages: The Secret to Love that Lasts,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.38</span></span>","74,075",4.8 out of 5 stars
Roger Priddy,First 100 Words: A Padded Board Book,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","36,068",4.7 out of 5 stars
Dav Pilkey,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","16,231",4.9 out of 5 stars
Tara Westover,Educated: A Memoir,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","72,382",4.7 out of 5 stars
Jen Sincero,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.22</span></span>","35,905",4.7 out of 5 stars
Joanna Gaines,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.36</span></span>","14,574",4.4 out of 5 stars
Eric Carle,Giraffes Can't Dance,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.95</span></span>","28,617",4.8 out of 5 stars
Kevin Kwan,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$16.95</span></span>","47,731",4.9 out of 5 stars
Angie Thomas,Homebody: A Guide to Creating Spaces You Never Want to Leave,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$7.00</span></span>","11,200",4.8 out of 5 stars
Laurel Randolph,The Very Hungry Caterpillar,Board book,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","56,790",4.9 out of 5 stars
Don Miguel Ruiz,Crazy Rich Asians (Crazy Rich Asians Trilogy),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.07</span></span>","11,768",4.4 out of 5 stars
Emily Winfield Martin,The Hate U Give: A Printz Honor Winner,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.92</span></span>","25,356",4.8 out of 5 stars
